n_tries,n_choices,guesses,feedback,won
4,"[6512, 775, 89, 1]","['fagin', 'plate', 'rhoda', 'rocha']","{'false_letters': ['f', 'p', 'i', 'e', 'n', 'g', 'd', 'l', 't'], 'true_letters': {0: 'r', 4: 'a', 1: 'o', 2: 'c', 3: 'h'}, 'misplaced_letters': {1: ['a', 'h'], 2: ['a', 'o']}}",1
8,"[6512, 179, 18, 5, 4, 3, 2, 1]","['tunic', 'jonas', 'yonks', 'bonks', 'gonks', 'wonks', 'honks', 'monks']","{'false_letters': ['j', 'u', 'i', 'y', 'g', 'w', 'b', 'a', 't', 'h', 'c'], 'true_letters': {2: 'n', 1: 'o', 4: 's', 3: 'k', 0: 'm'}, 'misplaced_letters': {}}",0
5,"[6512, 1837, 72, 3, 1]","['shuns', 'cello', 'klimt', 'plaza', 'algal']","{'false_letters': ['e', 'p', 'u', 'i', 'o', 'z', 'n', 'm', 's', 'k', 't', 'h', 'c'], 'true_letters': {1: 'l', 0: 'a', 2: 'g', 3: 'a', 4: 'l'}, 'misplaced_letters': {2: ['l', 'a'], 3: ['l'], 4: ['a']}}",1
5,"[6512, 843, 35, 3, 1]","['koans', 'weird', 'pixel', 'tibet', 'civet']","{'false_letters': ['p', 'o', 'n', 'x', 'w', 'd', 'b', 's', 'a', 'r', 'l', 'k'], 'true_letters': {1: 'i', 3: 'e', 4: 't', 0: 'c', 2: 'v'}, 'misplaced_letters': {1: ['e'], 2: ['i'], 0: ['t']}}",1
4,"[6512, 22, 4, 1]","['mewls', 'growl', 'waldo', 'allow']","{'false_letters': ['e', 'g', 'm', 'd', 's', 'r'], 'true_letters': {2: 'l', 0: 'a', 1: 'l', 3: 'o', 4: 'w'}, 'misplaced_letters': {2: ['w', 'o'], 3: ['l', 'w'], 4: ['l', 'o'], 0: ['w'], 1: ['a']}}",1
5,"[6512, 79, 18, 2, 1]","['apron', 'forms', 'boris', 'bores', 'borgs']","{'false_letters': ['p', 'e', 'i', 'f', 'n', 'm', 'a'], 'true_letters': {2: 'r', 1: 'o', 4: 's', 0: 'b', 3: 'g'}, 'misplaced_letters': {3: ['o']}}",1
4,"[6512, 300, 59, 2]","['sadat', 'bethe', 'tizzy', 'pyotr']","{'false_letters': ['e', 'i', 'z', 'd', 'b', 's', 'a', 'h'], 'true_letters': {0: 'p', 1: 'y', 2: 'o', 3: 't', 4: 'r'}, 'misplaced_letters': {4: ['t', 'y'], 2: ['t'], 0: ['t']}}",1
5,"[6512, 491, 29, 5, 1]","['dusts', 'plaid', 'biden', 'edify', 'verdi']","{'false_letters': ['p', 'f', 'u', 'y', 'n', 'b', 's', 'a', 'l', 't'], 'true_letters': {0: 'v', 1: 'e', 2: 'r', 3: 'd', 4: 'i'}, 'misplaced_letters': {0: ['d', 'e'], 3: ['i', 'e'], 4: ['d'], 1: ['i', 'd'], 2: ['d', 'i']}}",1
4,"[6512, 190, 76, 2]","['salem', 'scurf', 'swing', 'snits']","{'false_letters': ['e', 'f', 'u', 'w', 'g', 'm', 'a', 'l', 'r', 'c'], 'true_letters': {0: 's', 2: 'i', 1: 'n', 3: 't', 4: 's'}, 'misplaced_letters': {3: ['n']}}",1
4,"[6512, 1657, 14, 2]","['shock', 'grate', 'frizz', 'wryly']","{'false_letters': ['e', 'f', 'i', 'z', 'o', 'g', 's', 'a', 'k', 't', 'h', 'c'], 'true_letters': {1: 'r', 0: 'w', 2: 'y', 3: 'l', 4: 'y'}, 'misplaced_letters': {}}",1
5,"[6512, 19, 7, 5, 3]","['duvet', 'toque', 'untie', 'saute', 'flute']","{'false_letters': ['i', 'q', 'o', 'v', 'n', 'd', 's', 'a'], 'true_letters': {4: 'e', 2: 'u', 3: 't', 0: 'f', 1: 'l'}, 'misplaced_letters': {1: ['u'], 3: ['e', 'u'], 4: ['t'], 0: ['t', 'u'], 2: ['t']}}",1
4,"[6512, 338, 87, 2]","['grail', 'norma', 'eater', 'rates']","{'false_letters': ['i', 'o', 'n', 'g', 'm', 'l'], 'true_letters': {1: 'a', 2: 't', 3: 'e', 0: 'r', 4: 's'}, 'misplaced_letters': {1: ['r'], 2: ['a', 'r'], 4: ['a', 'r'], 0: ['e']}}",1
3,"[6512, 30, 1]","['surya', 'marry', 'moray']","{'false_letters': ['u', 's'], 'true_letters': {2: 'r', 0: 'm', 4: 'y', 1: 'o', 3: 'a'}, 'misplaced_letters': {3: ['y', 'r'], 4: ['a'], 1: ['a']}}",1
5,"[6512, 37, 5, 4, 3]","['cools', 'foods', 'moods', 'hoods', 'woods']","{'false_letters': ['f', 'm', 'l', 'h', 'c'], 'true_letters': {1: 'o', 2: 'o', 4: 's', 3: 'd', 0: 'w'}, 'misplaced_letters': {}}",1
4,"[6512, 129, 17, 2]","['sykes', 'verso', 'taste', 'aside']","{'false_letters': ['o', 'y', 'v', 'r', 'k', 't'], 'true_letters': {4: 'e', 0: 'a', 1: 's', 2: 'i', 3: 'd'}, 'misplaced_letters': {0: ['s'], 3: ['e', 's'], 4: ['s'], 1: ['e', 'a'], 2: ['s']}}",1
3,"[6512, 425, 4]","['duchy', 'close', 'flick']","{'false_letters': ['e', 'u', 'o', 'y', 'd', 's', 'h'], 'true_letters': {1: 'l', 0: 'f', 2: 'i', 3: 'c', 4: 'k'}, 'misplaced_letters': {2: ['c'], 0: ['c']}}",1
4,"[6512, 444, 4, 2]","['bowed', 'gyros', 'argot', 'rigor']","{'false_letters': ['e', 'y', 'w', 'd', 'b', 's', 'a', 't'], 'true_letters': {3: 'o', 2: 'g', 0: 'r', 1: 'i', 4: 'r'}, 'misplaced_letters': {1: ['o', 'r'], 0: ['g'], 2: ['r']}}",1
6,"[6512, 1597, 72, 20, 5, 1]","['awash', 'ditto', 'freed', 'blued', 'upped', 'puked']","{'false_letters': ['f', 'i', 'o', 'w', 'b', 's', 'a', 'r', 'l', 't', 'h'], 'true_letters': {3: 'e', 4: 'd', 0: 'p', 1: 'u', 2: 'k'}, 'misplaced_letters': {0: ['d', 'u'], 2: ['e', 'u', 'p'], 1: ['p']}}",1
6,"[6512, 311, 25, 19, 12, 4]","['india', 'maven', 'karyn', 'cajun', 'baton', 'halon']","{'false_letters': ['e', 'u', 'j', 'i', 'y', 'v', 'd', 'm', 'b', 'r', 'k', 't', 'c'], 'true_letters': {1: 'a', 4: 'n', 3: 'o', 0: 'h', 2: 'l'}, 'misplaced_letters': {1: ['n'], 4: ['a']}}",1
10,"[6512, 344, 67, 31, 6, 5, 4, 3, 2, 1]","['wotan', 'minim', 'lynch', 'dunks', 'fends', 'bends', 'rends', 'pends', 'sends', 'vends']","{'false_letters': ['f', 'p', 'u', 'i', 'o', 'y', 'w', 'm', 'b', 'a', 'l', 'r', 'k', 't', 'h', 'c'], 'true_letters': {2: 'n', 4: 's', 1: 'e', 3: 'd', 0: 'v'}, 'misplaced_letters': {4: ['n'], 0: ['d', 's']}}",0
4,"[6512, 375, 107, 1]","['nepal', 'barre', 'fates', 'easts']","{'false_letters': ['p', 'f', 'n', 'b', 'l', 'r'], 'true_letters': {1: 'a', 4: 's', 0: 'e', 2: 's', 3: 't'}, 'misplaced_letters': {1: ['e'], 3: ['a', 'e'], 4: ['e'], 2: ['t']}}",1
4,"[6512, 62, 10, 1]","['rings', 'timer', 'kirov', 'cipro']","{'false_letters': ['e', 'v', 'n', 'g', 'm', 's', 'k', 't'], 'true_letters': {1: 'i', 0: 'c', 2: 'p', 3: 'r', 4: 'o'}, 'misplaced_letters': {0: ['r'], 4: ['r'], 2: ['r'], 3: ['o']}}",1
6,"[6512, 1040, 242, 101, 8, 2]","['uncle', 'droop', 'xxxiv', 'whims', 'sifts', 'fiats']","{'false_letters': ['e', 'p', 'u', 'o', 'n', 'x', 'v', 'w', 'd', 'm', 'l', 'r', 'h', 'c'], 'true_letters': {4: 's', 1: 'i', 3: 't', 0: 'f', 2: 'a'}, 'misplaced_letters': {3: ['i'], 2: ['i', 'f'], 0: ['s']}}",1
4,"[6512, 79, 3, 2]","['snoot', 'elbow', 'widow', 'gamow']","{'false_letters': ['e', 'i', 'n', 'd', 'b', 's', 'l', 't'], 'true_letters': {3: 'o', 4: 'w', 0: 'g', 1: 'a', 2: 'm'}, 'misplaced_letters': {2: ['o'], 0: ['w']}}",1
4,"[6512, 810, 144, 20]","['grown', 'retry', 'safer', 'maker']","{'false_letters': ['f', 'o', 'y', 'n', 'w', 'g', 's', 't'], 'true_letters': {1: 'a', 3: 'e', 4: 'r', 0: 'm', 2: 'k'}, 'misplaced_letters': {1: ['r', 'e'], 0: ['r'], 3: ['r']}}",1
6,"[6512, 59, 14, 7, 3, 2]","['stirs', 'sprog', 'seder', 'safer', 'saver', 'saner']","{'false_letters': ['p', 'f', 'i', 'o', 'v', 'g', 'd', 't'], 'true_letters': {0: 's', 3: 'e', 4: 'r', 1: 'a', 2: 'n'}, 'misplaced_letters': {3: ['r'], 4: ['s'], 2: ['r'], 1: ['e']}}",1
5,"[6512, 756, 42, 11, 1]","['brest', 'midis', 'dawns', 'clods', 'scuds']","{'false_letters': ['e', 'i', 'o', 'n', 'w', 'm', 'b', 'a', 'r', 'l', 't'], 'true_letters': {4: 's', 3: 'd', 0: 's', 1: 'c', 2: 'u'}, 'misplaced_letters': {3: ['s'], 2: ['d'], 0: ['d', 'c']}}",1
3,"[6512, 204, 7]","['hefts', 'later', 'dated']","{'false_letters': ['f', 's', 'l', 'r', 'h'], 'true_letters': {1: 'a', 2: 't', 3: 'e', 0: 'd', 4: 'd'}, 'misplaced_letters': {1: ['e'], 3: ['t']}}",1
5,"[6512, 1012, 80, 24, 1]","['jeeps', 'exile', 'finer', 'video', 'civet']","{'false_letters': ['p', 'f', 'j', 'o', 'n', 'x', 'd', 's', 'l', 'r'], 'true_letters': {1: 'i', 3: 'e', 0: 'c', 2: 'v', 4: 't'}, 'misplaced_letters': {1: ['e'], 2: ['e', 'i'], 0: ['e', 'v'], 4: ['e']}}",1
4,"[6512, 1647, 37, 3]","['gonna', 'tutti', 'sects', 'brett']","{'false_letters': ['u', 'i', 'o', 'n', 'g', 's', 'a', 'c'], 'true_letters': {3: 't', 0: 'b', 1: 'r', 2: 'e', 4: 't'}, 'misplaced_letters': {0: ['t'], 2: ['t'], 1: ['e']}}",1
5,"[6512, 359, 4, 3, 2]","['cadiz', 'dusky', 'douse', 'drums', 'drugs']","{'false_letters': ['e', 'z', 'i', 'o', 'y', 'm', 'a', 'k', 'c'], 'true_letters': {0: 'd', 2: 'u', 1: 'r', 4: 's', 3: 'g'}, 'misplaced_letters': {2: ['d', 's'], 1: ['u'], 3: ['s']}}",1
5,"[6512, 588, 78, 16, 9]","['raves', 'micky', 'fully', 'hubby', 'tunny']","{'false_letters': ['e', 'f', 'i', 'v', 'm', 'b', 's', 'a', 'r', 'l', 'k', 'h', 'c'], 'true_letters': {4: 'y', 1: 'u', 0: 't', 2: 'n', 3: 'n'}, 'misplaced_letters': {}}",1
4,"[6512, 1275, 20, 1]","['glide', 'boons', 'basks', 'busts']","{'false_letters': ['e', 'i', 'o', 'n', 'g', 'd', 'l', 'a', 'k'], 'true_letters': {0: 'b', 4: 's', 2: 's', 1: 'u', 3: 't'}, 'misplaced_letters': {}}",1
4,"[6512, 184, 4, 3]","['enter', 'teams', 'plate', 'abate']","{'false_letters': ['p', 'n', 'm', 's', 'l', 'r'], 'true_letters': {2: 'a', 3: 't', 4: 'e', 0: 'a', 1: 'b'}, 'misplaced_letters': {0: ['e', 't'], 2: ['t'], 3: ['e'], 1: ['e']}}",1
5,"[6512, 29, 3, 2, 1]","['smile', 'midst', 'ishim', 'iambs', 'icbms']","{'false_letters': ['e', 'd', 'a', 'l', 't', 'h'], 'true_letters': {0: 'i', 4: 's', 1: 'c', 2: 'b', 3: 'm'}, 'misplaced_letters': {0: ['s', 'm'], 1: ['m', 'i', 's'], 2: ['i', 'm'], 3: ['s', 'i', 'b'], 4: ['m']}}",1
3,"[6512, 26, 13]","['drums', 'rushy', 'super']","{'false_letters': ['h', 'd', 'y', 'm'], 'true_letters': {1: 'u', 0: 's', 2: 'p', 3: 'e', 4: 'r'}, 'misplaced_letters': {1: ['r'], 2: ['u', 's'], 4: ['s'], 0: ['r']}}",1
6,"[6512, 27, 13, 9, 2, 1]","['shoal', 'thanh', 'dhaka', 'charm', 'chafe', 'chaff']","{'false_letters': ['e', 'o', 'n', 'd', 'm', 's', 'l', 'r', 'k', 't'], 'true_letters': {1: 'h', 2: 'a', 0: 'c', 3: 'f', 4: 'f'}, 'misplaced_letters': {3: ['a'], 4: ['h', 'a']}}",1
6,"[6512, 1159, 248, 58, 12, 5]","['adder', 'swizz', 'kusch', 'floss', 'volts', 'molls']","{'false_letters': ['e', 'f', 'u', 'z', 'i', 'v', 'w', 'd', 'a', 'r', 'k', 't', 'h', 'c'], 'true_letters': {4: 's', 1: 'o', 2: 'l', 0: 'm', 3: 'l'}, 'misplaced_letters': {0: ['s'], 2: ['s', 'o'], 1: ['l'], 3: ['s']}}",1
4,"[6512, 326, 39, 1]","['hokum', 'baath', 'shard', 'chair']","{'false_letters': ['u', 'o', 'm', 'b', 's', 'd', 'k', 't'], 'true_letters': {2: 'a', 1: 'h', 0: 'c', 3: 'i', 4: 'r'}, 'misplaced_letters': {0: ['h'], 1: ['a'], 4: ['h'], 3: ['r']}}",1
8,"[6512, 1617, 36, 12, 5, 3, 2, 1]","['jello', 'chris', 'karyn', 'tardy', 'marry', 'parry', 'barry', 'garry']","{'false_letters': ['e', 'p', 'j', 'i', 'o', 'n', 'd', 'm', 's', 'l', 'b', 'k', 't', 'h', 'c'], 'true_letters': {2: 'r', 1: 'a', 4: 'y', 3: 'r', 0: 'g'}, 'misplaced_letters': {3: ['y']}}",0
4,"[6512, 62, 2, 1]","['wired', 'dials', 'jidda', 'kinda']","{'false_letters': ['e', 'j', 'w', 's', 'l', 'r'], 'true_letters': {1: 'i', 3: 'd', 4: 'a', 0: 'k', 2: 'n'}, 'misplaced_letters': {4: ['d'], 0: ['d'], 2: ['a', 'd']}}",1
3,"[6512, 168, 3]","['fully', 'reyes', 'pyres']","{'false_letters': ['f', 'u', 'l'], 'true_letters': {3: 'e', 4: 's', 0: 'p', 1: 'y', 2: 'r'}, 'misplaced_letters': {4: ['y'], 0: ['r'], 1: ['e'], 2: ['y']}}",1
4,"[6512, 161, 30, 1]","['corps', 'tress', 'drabs', 'grids']","{'false_letters': ['p', 'e', 'o', 'b', 'a', 't', 'c'], 'true_letters': {4: 's', 1: 'r', 0: 'g', 2: 'i', 3: 'd'}, 'misplaced_letters': {2: ['r'], 3: ['s'], 0: ['d']}}",1
5,"[6512, 42, 4, 2, 1]","['sebum', 'bodes', 'blase', 'baste', 'basie']","{'false_letters': ['u', 'o', 'd', 'm', 'l', 't'], 'true_letters': {0: 'b', 4: 'e', 1: 'a', 2: 's', 3: 'i'}, 'misplaced_letters': {0: ['s'], 1: ['e'], 2: ['b', 'a'], 3: ['e', 's'], 4: ['s']}}",1
4,"[6512, 114, 4, 1]","['baron', 'paler', 'raise', 'cadre']","{'false_letters': ['p', 'i', 'o', 'n', 'b', 's', 'l'], 'true_letters': {1: 'a', 4: 'e', 0: 'c', 2: 'd', 3: 'r'}, 'misplaced_letters': {2: ['r'], 3: ['e'], 4: ['r'], 0: ['r']}}",1
3,"[6512, 358, 2]","['uriel', 'balmy', 'bolts']","{'false_letters': ['e', 'u', 'i', 'y', 'm', 'a', 'r'], 'true_letters': {0: 'b', 2: 'l', 1: 'o', 3: 't', 4: 's'}, 'misplaced_letters': {4: ['l']}}",1
3,"[6512, 305, 1]","['split', 'neath', 'berta']","{'false_letters': ['p', 'i', 'n', 's', 'l', 'h'], 'true_letters': {1: 'e', 3: 't', 0: 'b', 2: 'r', 4: 'a'}, 'misplaced_letters': {4: ['t'], 2: ['a']}}",1
3,"[6512, 2419, 55]","['emcee', 'solid', 'lasts']","{'false_letters': ['e', 'i', 'o', 'd', 'm', 'c'], 'true_letters': {0: 'l', 1: 'a', 2: 's', 3: 't', 4: 's'}, 'misplaced_letters': {0: ['s'], 2: ['l']}}",1
3,"[6512, 35, 8]","['drown', 'width', 'wived']","{'false_letters': ['o', 'n', 'r', 't', 'h'], 'true_letters': {0: 'w', 1: 'i', 2: 'v', 3: 'e', 4: 'd'}, 'misplaced_letters': {0: ['d'], 3: ['w'], 2: ['d']}}",1
3,"[6512, 237, 3]","['hence', 'dhows', 'whirl']","{'false_letters': ['e', 'o', 'n', 'd', 's', 'c'], 'true_letters': {1: 'h', 0: 'w', 2: 'i', 3: 'r', 4: 'l'}, 'misplaced_letters': {0: ['h'], 3: ['w']}}",1
7,"[6512, 1895, 211, 14, 6, 3, 2]","['mound', 'peggy', 'weest', 'keels', 'jeers', 'beers', 'veers']","{'false_letters': ['p', 'u', 'j', 'o', 'y', 'n', 'g', 'w', 'd', 'm', 'b', 'l', 'k', 't'], 'true_letters': {1: 'e', 2: 'e', 4: 's', 3: 'r', 0: 'v'}, 'misplaced_letters': {3: ['s']}}",0
7,"[6512, 226, 52, 17, 6, 3, 1]","['auden', 'lucks', 'mujib', 'tutor', 'puppy', 'fuggy', 'huffy']","{'false_letters': ['e', 'p', 'j', 'i', 'o', 'n', 'g', 'd', 'm', 's', 'a', 'l', 'b', 'r', 'k', 't', 'c'], 'true_letters': {1: 'u', 4: 'y', 0: 'h', 2: 'f', 3: 'f'}, 'misplaced_letters': {0: ['f']}}",0
4,"[6512, 395, 48, 1]","['seato', 'jihad', 'cuban', 'uncap']","{'false_letters': ['e', 'j', 'i', 'o', 'd', 'b', 's', 't', 'h'], 'true_letters': {3: 'a', 0: 'u', 1: 'n', 2: 'c', 4: 'p'}, 'misplaced_letters': {2: ['a'], 0: ['c'], 1: ['u'], 4: ['n']}}",1
5,"[6512, 817, 14, 4, 1]","['lives', 'aryan', 'adopt', 'abuja', 'abuzz']","{'false_letters': ['e', 'p', 'j', 'i', 'o', 'y', 'n', 'v', 'd', 's', 'l', 'r', 't'], 'true_letters': {0: 'a', 1: 'b', 2: 'u', 3: 'z', 4: 'z'}, 'misplaced_letters': {3: ['a'], 4: ['a']}}",1
3,"[6512, 1308, 1]","['adams', 'jinny', 'tonne']","{'false_letters': ['j', 'i', 'y', 'd', 'm', 's', 'a'], 'true_letters': {2: 'n', 3: 'n', 0: 't', 1: 'o', 4: 'e'}, 'misplaced_letters': {}}",1
7,"[6512, 247, 43, 34, 25, 18, 14]","['glare', 'bayed', 'japed', 'caved', 'waded', 'hazed', 'eased']","{'false_letters': ['p', 'j', 'z', 'y', 'v', 'g', 'w', 'b', 'l', 'r', 'h', 'c'], 'true_letters': {1: 'a', 3: 'e', 4: 'd', 0: 'e', 2: 's'}, 'misplaced_letters': {2: ['a', 'd'], 4: ['e']}}",0
6,"[6512, 218, 98, 29, 3, 2]","['coifs', 'wings', 'dimes', 'bites', 'sites', 'kites']","{'false_letters': ['f', 'o', 'n', 'w', 'g', 'd', 'm', 'b', 'c'], 'true_letters': {4: 's', 1: 'i', 3: 'e', 2: 't', 0: 'k'}, 'misplaced_letters': {2: ['i'], 0: ['s']}}",1
7,"[6512, 91, 30, 20, 8, 3, 1]","['ryder', 'jelly', 'peppy', 'betty', 'seamy', 'kenny', 'weeny']","{'false_letters': ['p', 'j', 'd', 'b', 's', 'l', 'r', 'a', 'm', 'k', 't'], 'true_letters': {1: 'e', 4: 'y', 3: 'n', 0: 'w', 2: 'e'}, 'misplaced_letters': {1: ['y'], 3: ['e'], 2: ['n']}}",0
5,"[6512, 164, 27, 2, 1]","['stamp', 'amber', 'macro', 'mario', 'margo']","{'false_letters': ['p', 'e', 'i', 'b', 's', 't', 'c'], 'true_letters': {0: 'm', 1: 'a', 4: 'o', 2: 'r', 3: 'g'}, 'misplaced_letters': {2: ['a'], 3: ['m', 'r'], 0: ['a'], 1: ['m'], 4: ['r']}}",1
5,"[6512, 683, 158, 31, 9]","['miser', 'sooty', 'calls', 'banns', 'papas']","{'false_letters': ['e', 'i', 'o', 'y', 'n', 'm', 'b', 'l', 'r', 't', 'c'], 'true_letters': {1: 'a', 4: 's', 0: 'p', 2: 'p', 3: 'a'}, 'misplaced_letters': {2: ['s'], 0: ['s']}}",1
4,"[6512, 99, 4, 2]","['rooms', 'forte', 'toner', 'doter']","{'false_letters': ['f', 'm', 's', 'n'], 'true_letters': {1: 'o', 3: 'e', 4: 'r', 0: 'd', 2: 't'}, 'misplaced_letters': {0: ['r', 't'], 2: ['o', 'r'], 3: ['t'], 4: ['e']}}",1
5,"[6512, 631, 12, 2, 1]","['banal', 'pills', 'glyph', 'loopy', 'lumpy']","{'false_letters': ['i', 'o', 'n', 'g', 'b', 's', 'a', 'h'], 'true_letters': {3: 'p', 0: 'l', 4: 'y', 1: 'u', 2: 'm'}, 'misplaced_letters': {4: ['l'], 0: ['p'], 2: ['l', 'y'], 3: ['l'], 1: ['l']}}",1
9,"[6512, 123, 18, 8, 7, 6, 5, 4, 3]","['filet', 'taker', 'dates', 'hates', 'oates', 'gates', 'sates', 'mates', 'pates']","{'false_letters': ['f', 'i', 'o', 'g', 'd', 'm', 'l', 'r', 'k', 'h'], 'true_letters': {3: 'e', 1: 'a', 2: 't', 4: 's', 0: 'p'}, 'misplaced_letters': {4: ['t'], 0: ['t', 's']}}",0
4,"[6512, 1253, 12, 4]","['solon', 'weigh', 'water', 'waxed']","{'false_letters': ['i', 'o', 'n', 'g', 's', 'l', 'r', 't', 'h'], 'true_letters': {0: 'w', 1: 'a', 3: 'e', 2: 'x', 4: 'd'}, 'misplaced_letters': {1: ['e']}}",1
3,"[6512, 90, 13]","['romes', 'mingy', 'tatum']","{'false_letters': ['e', 'i', 'o', 'y', 'n', 'g', 's', 'r'], 'true_letters': {0: 't', 1: 'a', 2: 't', 3: 'u', 4: 'm'}, 'misplaced_letters': {2: ['m'], 0: ['m']}}",1
3,"[6512, 482, 10]","['cover', 'marat', 'riyal']","{'false_letters': ['e', 'o', 'v', 'm', 't', 'c'], 'true_letters': {3: 'a', 0: 'r', 1: 'i', 2: 'y', 4: 'l'}, 'misplaced_letters': {4: ['r'], 1: ['a'], 2: ['r']}}",1
4,"[6512, 202, 18, 1]","['aging', 'ernie', 'dixon', 'input']","{'false_letters': ['e', 'o', 'x', 'g', 'd', 'a', 'r'], 'true_letters': {0: 'i', 1: 'n', 2: 'p', 3: 'u', 4: 't'}, 'misplaced_letters': {2: ['i', 'n'], 3: ['n', 'i'], 1: ['i'], 4: ['n']}}",1
5,"[6512, 681, 7, 5, 2]","['throw', 'krebs', 'cribs', 'grabs', 'arabs']","{'false_letters': ['e', 'i', 'o', 'w', 'g', 'k', 't', 'h', 'c'], 'true_letters': {1: 'r', 3: 'b', 4: 's', 2: 'a', 0: 'a'}, 'misplaced_letters': {2: ['r']}}",1
8,"[6512, 61, 8, 5, 4, 3, 2, 1]","['threw', 'bowen', 'mowed', 'cowed', 'lowed', 'vowed', 'sowed', 'wowed']","{'false_letters': ['n', 'v', 'm', 'b', 's', 'l', 'r', 't', 'h', 'c'], 'true_letters': {3: 'e', 1: 'o', 2: 'w', 4: 'd', 0: 'w'}, 'misplaced_letters': {4: ['w']}}",0
5,"[6512, 1509, 298, 5, 1]","['bugle', 'idiom', 'carps', 'frats', 'stars']","{'false_letters': ['e', 'p', 'u', 'i', 'o', 'f', 'g', 'd', 'b', 'm', 'l', 'c'], 'true_letters': {4: 's', 2: 'a', 0: 's', 1: 't', 3: 'r'}, 'misplaced_letters': {1: ['a', 'r'], 2: ['r'], 3: ['t']}}",1
7,"[6512, 1159, 55, 6, 4, 2, 1]","['sunup', 'tries', 'rojas', 'rocks', 'rooms', 'roofs', 'roods']","{'false_letters': ['p', 'e', 'u', 'j', 'i', 'f', 'n', 'm', 'a', 'k', 't', 'c'], 'true_letters': {4: 's', 0: 'r', 1: 'o', 2: 'o', 3: 'd'}, 'misplaced_letters': {0: ['s'], 1: ['r']}}",0
4,"[6512, 529, 114, 4]","['mayst', 'guano', 'addle', 'akiva']","{'false_letters': ['e', 'u', 'o', 'y', 'n', 'g', 'm', 'd', 's', 'l', 't'], 'true_letters': {0: 'a', 1: 'k', 2: 'i', 3: 'v', 4: 'a'}, 'misplaced_letters': {1: ['a'], 2: ['a']}}",1
5,"[6512, 1863, 197, 7, 2]","['mayra', 'devil', 'sikhs', 'chins', 'chips']","{'false_letters': ['e', 'y', 'n', 'v', 'm', 'd', 'a', 'r', 'l', 'k'], 'true_letters': {4: 's', 0: 'c', 1: 'h', 2: 'i', 3: 'p'}, 'misplaced_letters': {3: ['i', 'h'], 0: ['s'], 1: ['i']}}",1
6,"[6512, 160, 17, 3, 2, 1]","['imbue', 'baths', 'barns', 'bands', 'banks', 'bangs']","{'false_letters': ['e', 'u', 'i', 'm', 'd', 'r', 'k', 't', 'h'], 'true_letters': {0: 'b', 1: 'a', 4: 's', 2: 'n', 3: 'g'}, 'misplaced_letters': {2: ['b'], 3: ['n']}}",1
3,"[6512, 80, 4]","['snipe', 'rides', 'dices']","{'false_letters': ['p', 'r', 'n'], 'true_letters': {1: 'i', 3: 'e', 4: 's', 0: 'd', 2: 'c'}, 'misplaced_letters': {0: ['s'], 2: ['i', 'd'], 4: ['e']}}",1
6,"[6512, 1525, 345, 18, 9, 2]","['soyuz', 'whack', 'liver', 'biped', 'mixed', 'nixed']","{'false_letters': ['p', 'u', 'z', 'o', 'y', 'v', 'w', 'm', 'b', 's', 'a', 'l', 'r', 'k', 'h', 'c'], 'true_letters': {1: 'i', 3: 'e', 4: 'd', 2: 'x', 0: 'n'}, 'misplaced_letters': {}}",1
6,"[6512, 2077, 18, 13, 5, 2]","['tampa', 'croce', 'loire', 'horne', 'forge', 'gorge']","{'false_letters': ['p', 'f', 'i', 'n', 'm', 'l', 'a', 't', 'h', 'c'], 'true_letters': {4: 'e', 1: 'o', 2: 'r', 3: 'g', 0: 'g'}, 'misplaced_letters': {1: ['r'], 2: ['o'], 3: ['r']}}",1
3,"[6512, 106, 5]","['loony', 'ypres', 'byers']","{'false_letters': ['p', 'n', 'o', 'l'], 'true_letters': {4: 's', 0: 'b', 1: 'y', 2: 'e', 3: 'r'}, 'misplaced_letters': {4: ['y'], 0: ['y'], 2: ['r'], 3: ['e']}}",1
5,"[6512, 1420, 149, 42, 1]","['stung', 'woozy', 'privy', 'cabby', 'becky']","{'false_letters': ['p', 'u', 'i', 'o', 'z', 'n', 'v', 'g', 'w', 's', 'a', 'r', 't'], 'true_letters': {4: 'y', 0: 'b', 1: 'e', 2: 'c', 3: 'k'}, 'misplaced_letters': {0: ['c'], 2: ['b'], 3: ['b']}}",1
10,"[6512, 2252, 20, 7, 6, 5, 4, 3, 2, 1]","['toddy', 'viper', 'eaves', 'waves', 'naves', 'saves', 'caves', 'haves', 'faves', 'laves']","{'false_letters': ['p', 'f', 'i', 'o', 'y', 'n', 'w', 'd', 'r', 't', 'h', 'c'], 'true_letters': {3: 'e', 1: 'a', 2: 'v', 4: 's', 0: 'l'}, 'misplaced_letters': {0: ['v', 'e', 's']}}",0
3,"[6512, 10, 3]","['drawn', 'chard', 'reads']","{'false_letters': ['n', 'w', 'h', 'c'], 'true_letters': {2: 'a', 0: 'r', 1: 'e', 3: 'd', 4: 's'}, 'misplaced_letters': {0: ['d'], 1: ['r'], 3: ['r'], 4: ['d']}}",1
7,"[6512, 572, 98, 25, 10, 3, 1]","['clews', 'goads', 'ranks', 'fasts', 'javas', 'mayas', 'mamas']","{'false_letters': ['e', 'f', 'j', 'o', 'y', 'n', 'v', 'w', 'g', 'd', 'l', 'r', 'k', 't', 'c'], 'true_letters': {4: 's', 1: 'a', 3: 'a', 0: 'm', 2: 'm'}, 'misplaced_letters': {2: ['a', 's']}}",0
